Date,Symbol,Open,High,Low,Close,Volume,Deliverable Volume
2020-08-26,MAHABANK,15.0,15.15,14.1,14.35,6425764,3351941
2020-08-27,MAHABANK,14.25,14.5,13.8,13.85,4029125,2315638
2020-08-28,MAHABANK,14.15,14.7,13.95,14.15,7679313,3586489
2020-08-31,MAHABANK,14.5,14.6,13.4,13.5,4374825,2183900
2020-09-01,MAHABANK,13.55,13.75,12.75,13.35,2386828,1036025
2020-09-02,MAHABANK,13.65,13.7,13.1,13.4,1291450,726623
2020-09-03,MAHABANK,13.4,13.45,13.2,13.25,1134156,712444
2020-09-04,MAHABANK,13.05,13.15,12.5,12.85,2578272,1333559
2020-09-07,MAHABANK,13.0,13.15,12.55,12.7,1840932,1026033
2020-09-08,MAHABANK,12.8,12.85,12.25,12.4,1852875,973286
2020-09-09,MAHABANK,12.3,12.55,12.05,12.35,1403661,738224
2020-09-10,MAHABANK,12.5,12.7,12.35,12.55,1963487,932510
2020-09-11,MAHABANK,12.55,12.7,12.4,12.55,1131092,549065
2020-09-14,MAHABANK,12.75,13.0,12.6,12.75,2923468,1269868
2020-09-15,MAHABANK,12.95,12.95,12.75,12.8,1773922,1066745
2020-09-16,MAHABANK,12.8,13.0,12.7,12.75,1418838,616696
2020-09-17,MAHABANK,12.65,12.7,12.4,12.5,1096939,579126
2020-09-18,MAHABANK,12.6,12.6,12.2,12.25,1243916,667217
2020-09-21,MAHABANK,12.25,12.35,11.5,11.6,1561519,1064617
2020-09-22,MAHABANK,11.6,11.6,11.15,11.35,1024092,703209
2020-09-23,MAHABANK,11.5,11.65,10.95,11.15,1310038,739979
2020-09-24,MAHABANK,10.95,10.95,10.55,10.8,2308473,1299616
2020-09-25,MAHABANK,10.85,11.4,10.8,11.3,1465622,705985
2020-09-28,MAHABANK,11.5,11.6,11.35,11.55,1029179,586608
2020-09-29,MAHABANK,11.65,11.7,11.2,11.25,943229,454548
2020-09-30,MAHABANK,11.35,11.35,11.1,11.15,578593,286088
2020-10-01,MAHABANK,11.3,11.4,11.15,11.2,767788,398736
2020-10-05,MAHABANK,11.35,11.55,11.25,11.4,1000130,567222
